timestamp,name,attribute_name,value
34:24.7,EV Chargers,power,117.101
34:37.2,EV Chargers,power,142.139
04:44.6,EV Chargers,power,117.101
04:54.2,EV Chargers,power,140.187
35:14.1,EV Chargers,power,117.101
35:14.7,EV Chargers,power,138.153
05:41.1,EV Chargers,power,141.871
35:59.3,EV Chargers,power,137.314
35:59.7,EV Chargers,power,117.101
06:18.3,EV Chargers,power,139.307
06:23.2,EV Chargers,power,117.101
36:39.4,EV Chargers,power,134.04
36:40.5,EV Chargers,power,117.101
07:03.8,EV Chargers,power,131.248
07:04.3,EV Chargers,power,117.101
37:24.6,EV Chargers,power,117.101
37:27.6,EV Chargers,power,127.913
07:44.6,EV Chargers,power,117.101
07:53.4,EV Chargers,power,115.538
38:04.2,EV Chargers,power,117.101
38:13.4,EV Chargers,power,107.986
08:34.2,EV Chargers,power,115.282
38:53.5,EV Chargers,power,108.76
09:19.9,EV Chargers,power,101.784
39:40.7,EV Chargers,power,96.873
09:52.2,EV Chargers,power,90.97
40:08.2,EV Chargers,power,83.395
10:28.2,EV Chargers,power,75.573
40:50.0,EV Chargers,power,65.045
11:12.5,EV Chargers,power,58.325
41:31.6,EV Chargers,power,54.623
11:49.4,EV Chargers,power,45.859
42:04.8,EV Chargers,power,38.716
12:21.7,EV Chargers,power,30.943
42:43.1,EV Chargers,power,23.346
43:54.1,EV Chargers,power,24.228
13:54.7,EV Chargers,power,27.038
44:12.8,EV Chargers,power,25.331
14:32.3,EV Chargers,power,28.031
44:44.3,EV Chargers,power,96.592
44:54.9,EV Chargers,power,33.948
15:08.8,EV Chargers,power,96.592
15:16.1,EV Chargers,power,48.373
45:35.8,EV Chargers,power,96.592
45:36.0,EV Chargers,power,57.354
15:58.5,EV Chargers,power,68.822
16:01.2,EV Chargers,power,96.592
46:20.5,EV Chargers,power,84.496
46:26.6,EV Chargers,power,96.592
16:35.2,EV Chargers,power,105.056
16:42.6,EV Chargers,power,96.592
47:01.7,EV Chargers,power,96.592
47:04.8,EV Chargers,power,114.178
17:20.3,EV Chargers,power,128.217
17:27.0,EV Chargers,power,96.592
47:40.0,EV Chargers,power,134.579
47:44.1,EV Chargers,power,96.592
17:56.3,EV Chargers,power,130.657
18:05.3,EV Chargers,power,96.592
48:14.6,EV Chargers,power,139.421
